BOOK_ID,TITLE,CATEGORY_ID,PRICE,STOCK,PUBLISHED_DATE
171,Practical Frozen Fish,8,60.00,55,2016-02-14
172,Licensed Wooden Salad,7,59.00,21,2021-08-25
173,Practical Granite Gloves,7,80.00,23,2017-11-25
174,Fantastic Concrete Pizza,2,68.00,57,2021-11-07
175,Sleek Steel Chicken,1,30.00,8,2017-10-08
176,Handcrafted Soft Fish,6,90.00,22,2018-06-28
177,Unbranded Rubber Pants,3,81.00,74,2022-07-22
178,Generic Concrete Car,8,84.00,45,2016-09-11
179,Practical Soft Shoes,6,93.00,68,2018-03-26
180,Incredible Granite Tuna,2,52.00,20,2020-04-08
181,Refined Wooden Bacon,4,35.00,85,2018-10-24
182,Practical Metal Table,8,89.00,38,2018-05-06
183,Fantastic Fresh Tuna,7,35.00,29,2020-09-03
184,Awesome Concrete Bacon,3,62.00,17,2018-03-14
185,Unbranded Plastic Bike,1,54.00,51,2015-09-22
186,Handcrafted Metal Sausages,7,88.00,65,2020-01-13
187,Gorgeous Steel Ball,3,59.00,5,2019-01-23
188,Refined Rubber Fish,4,36.00,50,2019-06-05
189,Unbranded Soft Towels,6,82.00,49,2022-12-28
190,Unbranded Granite Pizza,8,23.00,99,2024-09-16
191,Gorgeous Cotton Keyboard,3,72.00,69,2018-07-19
192,Sleek Metal Tuna,7,49.00,61,2016-05-04
193,Tasty Metal Table,3,24.00,66,2024-10-17
194,Refined Frozen Fish,7,52.00,20,2017-09-19
195,Licensed Soft Computer,8,91.00,20,2019-11-22
196,Awesome Rubber Cheese,5,50.00,48,2022-11-17
197,Practical Wooden Pants,7,26.00,76,2022-10-30
198,Handcrafted Steel Soap,6,50.00,9,2020-01-05
199,Fantastic Wooden Towels,2,13.00,43,2020-05-26
200,Rustic Fresh Pizza,5,65.00,38,2016-07-21
